x,y,depth,u,A,SG,SGI,SedRate
4.169752e+05,3.852478e+06,2.252800e+01,2.369564e-01,9.000000e+04,1.517379e-02,1.644855e-10,0.000000e+00
4.172350e+05,3.852628e+06,2.254300e+01,2.346703e-01,9.000000e+04,1.531141e-02,1.659773e-10,0.000000e+00
4.174948e+05,3.852778e+06,2.274700e+01,2.295109e-01,9.000000e+04,1.551521e-02,1.681865e-10,0.000000e+00
4.177546e+05,3.852928e+06,2.308900e+01,2.190198e-01,9.000000e+04,1.601757e-02,1.736321e-10,0.000000e+00
4.180144e+05,3.853078e+06,2.288700e+01,2.049425e-01,9.003000e+04,1.727464e-02,1.871965e-10,0.000000e+00
4.182743e+05,3.853228e+06,2.293500e+01,1.864208e-01,9.000000e+04,1.894489e-02,2.053646e-10,0.000000e+00
4.185341e+05,3.853378e+06,2.308100e+01,1.650812e-01,9.000000e+04,2.125850e-02,2.304445e-10,0.000000e+00
4.187939e+05,3.853528e+06,2.311200e+01,1.454112e-01,9.000000e+04,2.410181e-02,2.612662e-10,0.000000e+00
4.190537e+05,3.853678e+06,2.315400e+01,1.260842e-01,9.000000e+04,2.774588e-02,3.007683e-10,0.000000e+00
4.193135e+05,3.853828e+06,2.301600e+01,1.178064e-01,9.000000e+04,2.987351e-02,3.238321e-10,0.000000e+00
4.195733e+05,3.853978e+06,2.204900e+01,1.115342e-01,9.000000e+04,3.293732e-02,3.570441e-10,0.000000e+00
4.198331e+05,3.854128e+06,2.258900e+01,3.298073e-01,9.000000e+04,1.087246e-02,1.178586e-10,0.000000e+00
4.200929e+05,3.854278e+06,1.200000e+01,1.746258e-01,9.000000e+04,3.865407e-02,4.190143e-10,0.000000e+00
4.213919e+05,3.855028e+06,1.303400e+01,2.465911e-02,9.003000e+04,2.521011e-01,2.731892e-09,-1.000000e-03
4.216518e+05,3.855178e+06,1.921300e+01,3.981524e-01,9.000000e+04,1.058865e-02,1.147821e-10,0.000000e+00
4.219116e+05,3.855328e+06,2.187500e+01,2.990908e-01,9.000000e+04,1.238038e-02,1.342047e-10,0.000000e+00
4.221714e+05,3.855478e+06,2.421300e+01,2.219505e-01,9.000000e+04,1.507233e-02,1.633857e-10,0.000000e+00
4.224312e+05,3.855628e+06,2.360500e+01,1.903851e-01,9.000000e+04,1.802387e-02,1.953807e-10,0.000000e+00
4.226871e+05,3.855776e+06,2.458900e+01,2.046879e-01,8.736000e+04,1.562148e-02,1.744559e-10,0.000000e+00
4.229321e+05,3.855918e+06,2.408900e+01,1.401688e-01,8.238000e+04,2.195808e-02,2.600451e-10,0.000000e+00
4.231632e+05,3.856052e+06,2.247600e+01,2.101634e-01,7.773000e+04,1.481000e-02,1.858843e-10,0.000000e+00
4.233812e+05,3.856177e+06,2.200000e+01,1.160927e-01,7.335000e+04,2.584730e-02,3.437884e-10,0.000000e+00
4.235869e+05,3.856296e+06,2.000000e+01,1.356426e-01,6.918000e+04,2.295076e-02,3.236627e-10,0.000000e+00
4.237809e+05,3.856408e+06,1.493400e+01,6.783225e-02,6.522000e+04,5.794433e-02,8.667748e-10,-1.000000e-03
4.239640e+05,3.856514e+06,1.365900e+01,4.518123e-02,6.161053e+04,8.985051e-02,1.422793e-09,-1.000000e-03
4.134477e+05,3.850788e+06,5.447000e+00,1.244600e-02,9.006000e+04,1.195603e+00,1.295184e-08,-6.000000e-03
4.139673e+05,3.851088e+06,6.336000e+00,2.155210e-02,9.006000e+04,5.935668e-01,6.430042e-09,0.000000e+00
4.142271e+05,3.851238e+06,7.521000e+00,1.854210e-02,9.006000e+04,5.812193e-01,6.296283e-09,2.000000e-02
4.144869e+05,3.851388e+06,4.097000e+00,2.149528e-01,9.009002e+04,9.206830e-02,9.970331e-10,-1.000000e-03
4.147468e+05,3.851538e+06,2.181600e+01,2.333552e-01,9.006000e+04,1.592142e-02,1.724749e-10,0.000000e+00
4.150066e+05,3.851688e+06,2.183100e+01,2.173407e-01,9.006000e+04,1.708283e-02,1.850564e-10,0.000000e+00
4.152664e+05,3.851838e+06,2.192100e+01,2.239472e-01,9.006000e+04,1.651081e-02,1.788598e-10,0.000000e+00
