      98  419833.094 3854128.500       -22.5890007019         0.3298073411
      99  420092.906 3854278.500       -12.0000000000         0.1746258438
     100  421391.938 3855028.500       -13.0340003967         0.0246591084
     101  421651.812 3855178.500       -19.2129993439         0.3981523514
     102  421911.594 3855328.500       -21.8750000000         0.2990907729
     103  422171.406 3855478.500       -24.2129993439         0.2219504863
     104  422431.188 3855628.500       -23.6049995422         0.1903851330
     105  422687.125 3855776.500       -24.5890007019         0.2046878636
     106  422932.094 3855918.000       -24.0890007019         0.1401687562
     107  423163.188 3856051.500       -22.4759998322         0.2101633549
     108  423381.250 3856177.250       -22.0000000000         0.1160926670
     109  423586.938 3856296.000       -20.0000000000         0.1356425583
     110  423780.938 3856408.000       -14.9340000153         0.0678322464
     111  423964.000 3856513.750       -13.6590003967         0.0451812260
     112  413447.688 3850788.500        -5.4470000267         0.0124460030
     113  413707.500 3850938.500        -6.5640001297         0.0000000000
     114  413967.312 3851088.500        -6.3359999657         0.0215521045
     115  414227.094 3851238.500        -7.5209999084         0.0185420960
     116  414486.938 3851388.500        -4.0970001221         0.2149527967
     117  414746.812 3851538.500       -21.8159999847         0.2333552390
     118  415006.594 3851688.500       -21.8309993744         0.2173406631
     119  415266.406 3851838.500       -21.9209995270         0.2239472121
     120  415526.188 3851988.500       -22.1140003204         0.2307660580
     121  415786.000 3852138.500       -22.2500000000         0.2332313955
     122  416045.812 3852288.500       -22.3209991455         0.2353496552
     123  416305.594 3852438.500       -22.3810005188         0.2391784191
     124  416565.406 3852588.500       -22.3430004120         0.2441284657
     125  416825.188 3852738.500       -22.4699993134         0.2492206097
     126  417085.000 3852888.500       -22.4349994659         0.2533432841
     127  417344.812 3853038.500       -22.9479999542         0.2531802952
     128  417604.594 3853188.500       -23.1959991455         0.2457894981
     129  417864.438 3853338.500       -22.9860000610         0.2329265624
     130  418124.312 3853488.500       -23.0030002594         0.2140014470
     131  418384.094 3853638.500       -23.0680007935         0.1932943612
     132  418643.906 3853788.500       -23.0890007019         0.1758783311
     133  418903.688 3853938.500       -23.1380004883         0.1572849303
     134  419163.500 3854088.500       -22.9869995117         0.1391476095
     135  419423.312 3854238.500       -22.3379993439         0.1256533414
     136  419683.094 3854388.500       -19.2080001831         0.3101720214
     137  419942.906 3854538.500       -13.4770002365         0.1280404627
     138  420982.094 3855138.500        -6.1339998245         0.0000000000
     139  421241.938 3855288.500       -16.8150005341         0.1411213726
     140  421501.812 3855438.500       -21.5890007019         0.2615553141
     141  421761.594 3855588.500       -22.5030002594         0.2789482176
     142  422021.406 3855738.500       -23.6119995117         0.2930317521
     143  422281.188 3855888.500       -23.9190006256         0.3103895187
     144  422537.125 3856036.250       -22.4890003204         0.3145093322
     145  422782.094 3856177.750       -22.4340000153         0.2600181997
     146  423013.188 3856311.000       -22.2369995117         0.2585770786
     147  423231.250 3856437.000       -21.8059997559         0.1493110508
     148  423436.938 3856555.750       -21.7000007629         0.1303427517
     149  423630.938 3856667.750       -15.0000000000         0.1057141572
     150  423814.000 3856773.500       -17.8180007935         0.0778054819
     151  413297.688 3851048.500        -5.3689999580         0.0000000000
     152  413557.500 3851198.500        -8.6660003662         0.0319929235
     153  413817.312 3851348.500        -6.0329999924         0.0409291536
     154  414077.094 3851498.500        -6.6290001869         0.0251033511
     155  414336.938 3851648.500        -9.4379997253         0.1623074114
     156  414596.812 3851798.500       -15.3159999847         0.1554008871
     157  414856.594 3851948.500       -21.9449996948         0.1702283621
     158  415116.406 3852098.500       -21.7290000916         0.1858872920
     159  415376.188 3852248.500       -22.1140003204         0.2037960291
     160  415636.000 3852398.500       -22.3920001984         0.2156552076
     161  415895.812 3852548.500       -22.2099990845         0.2250659466
     162  416155.594 3852698.500       -22.1469993591         0.2361554354
     163  416415.406 3852848.500       -22.2420005798         0.2477780282
     164  416675.188 3852998.500       -22.2539997101         0.2595268786
     165  416935.000 3853148.500       -22.4479999542         0.2700525224
     166  417194.812 3853298.500       -22.7590007782         0.2758086324
     167  417454.594 3853448.500       -22.7609996796         0.2760066986
     168  417714.438 3853598.500       -22.7840003967         0.2656215131
     169  417974.312 3853748.500       -22.9729995728         0.2475749552
     170  418234.094 3853898.500       -23.1270008087         0.2290714234
     171  418493.906 3854048.500       -23.1299991608         0.2152548581
     172  418753.688 3854198.500       -23.1180000305         0.2005799562
     173  419013.500 3854348.500       -23.2549991608         0.1827657074
     174  419273.312 3854498.500       -22.3190002441         0.1706481874
     175  419533.094 3854648.500       -22.2320003510         0.2933285832
     176  419792.906 3854798.500       -14.3210000992         0.1141944528
     177  420572.312 3855248.500        -6.1469998360         0.0000000000
     178  420832.094 3855398.500        -9.1219997406         0.2335519344
     179  421091.938 3855548.500       -12.9790000916         0.3001308143
     180  421351.812 3855698.500       -22.5459995270         0.3338453472
     181  421611.594 3855848.500       -24.0890007019         0.3711160123
     182  421871.406 3855998.500       -22.7999992371         0.4446552396
     183  422131.188 3856148.500       -21.9529991150         0.5247076154
     184  422387.125 3856296.000       -22.1459999084         0.5902284384
     185  422632.094 3856437.500       -21.8199996948         0.6448434591
     186  422863.188 3856571.000       -21.6170005798         0.7085598707
     187  423081.250 3856696.750       -21.5890007019         0.7543138862
     188  423286.938 3856815.500       -19.4790000916         0.8297907710
     189  423480.938 3856927.500       -18.3969993591         0.9119517207
     190  423664.000 3857033.250       -13.0000000000         1.0642778873
     191  423836.688 3857133.000       -13.0679998398         1.2559396029
     192  423999.562 3857227.000       -13.9630002975         1.2612431049
     193  424153.312 3857315.750       -12.4340000153         1.3047010899
     194  424298.281 3857399.500       -12.5869998932         1.3788731098
     195  414186.938 3851908.000        -5.1259999275         0.0503178760
     196  414446.812 3852058.000       -21.6959991455         0.0908912867
     197  414706.594 3852208.000       -20.6130008698         0.1222835556
     198  414966.406 3852358.000       -21.6959991455         0.1501168311
     199  415226.188 3852508.000       -22.0400009155         0.1703743190
     200  415486.000 3852658.000       -22.5429992676         0.1886684597
     201  415745.812 3852808.000       -22.1329994202         0.2058922797
     202  416005.594 3852958.000       -22.1100006104         0.2237788141
     203  416265.406 3853108.000       -22.0720005035         0.2423534840
     204  416525.188 3853258.000       -22.5979995728         0.2617748380
     205  416785.000 3853408.000       -22.6959991455         0.2800632715
     206  417044.812 3853558.000       -22.6140003204         0.2989487946
     207  417304.594 3853708.000       -22.6319999695         0.3092268109
     208  417564.438 3853858.000       -22.9099998474         0.2975401878
     209  417824.312 3854008.000       -23.1959991455         0.2791994214
     210  418084.094 3854158.000       -23.1259994507         0.2652574480
     211  418343.906 3854308.000       -23.1860008240         0.2576401830
     212  418603.688 3854458.000       -23.1599998474         0.2512859702
     213  418863.500 3854608.000       -23.5890007019         0.2426272333
     214  419123.312 3854758.000       -23.0340003967         0.2408768833
     215  419383.094 3854908.000       -23.5890007019         0.2901752889
     216  419642.906 3855058.000       -12.5439996719         0.2040877789
     217  419902.688 3855208.000       -14.5010004044         0.2977020144
     218  420162.500 3855358.000        -8.0570001602         0.4234129488
     219  420422.312 3855508.000       -10.2200002670         0.6755791903
     220  420682.094 3855658.000       -17.4270000458         0.5712099075
     221  420941.938 3855808.000       -18.6720008850         0.5384991765
     222  421201.812 3855958.000       -20.7029991150         0.5506929159
     223  421461.594 3856108.000       -21.6490001678         0.5805051923
     224  421721.406 3856258.000       -21.6410007477         0.6314691305
     225  421981.188 3856408.000       -21.6490001678         0.6772865653
     226  422237.125 3856556.000       -21.5890007019         0.7082593441
     227  422482.094 3856697.250       -21.5890007019         0.7233594656
     228  422713.188 3856830.750       -21.1009998322         0.7244597673
     229  422931.250 3856956.500       -20.6889991760         0.7132480145
     230  423136.938 3857075.500       -19.9780006409         0.6960651278
     231  423330.938 3857187.500       -17.2380008698         0.7004333735
     232  423514.000 3857293.000       -15.3990001678         0.7388736606
     233  423686.688 3857392.750       -12.0000000000         0.7906168699
     234  423849.594 3857486.750       -12.0000000000         0.7701121569
     235  424003.312 3857575.500       -12.0749998093         0.7075114250
     236  424148.312 3857659.250       -13.7959995270         0.6594344378
     237  414556.594 3852468.000        -6.3270001411         0.0695293322
     238  414816.406 3852618.000       -17.1459999084         0.1119110212
     239  415076.188 3852768.000       -21.7830009460         0.1336066127
     240  415336.000 3852918.000       -21.9470005035         0.1530137956
     241  415595.812 3853068.000       -22.1959991455         0.1729665995
     242  415855.594 3853218.000       -21.9580001831         0.1927292794
     243  416115.406 3853368.000       -22.1889991760         0.2155707330
     244  416375.188 3853518.000       -22.4160003662         0.2413324565
     245  416635.000 3853668.000       -22.2460002899         0.2742772996
     246  416894.812 3853818.000       -22.5620002747         0.3112264276
     247  417154.594 3853968.000       -22.4510002136         0.3390884399
     248  417414.438 3854118.000       -22.6429996490         0.3247348070
     249  417674.312 3854268.000       -22.9360008240         0.3074265420
     250  417934.094 3854418.000       -23.0820007324         0.3015204370
     251  418193.906 3854568.000       -23.1569995880         0.3058732152
     252  418453.688 3854718.000       -23.1550006866         0.3172687888
     253  418713.500 3854868.000       -23.1879997253         0.3330906630
     254  418973.312 3855018.000       -23.0799999237         0.3567010760
     255  419233.094 3855168.000       -23.1189994812         0.3848733902
     256  419492.906 3855318.000       -22.1550006866         0.3662244380
     257  419752.688 3855468.000       -16.0330009460         0.4749890268
     258  420012.500 3855618.000       -16.8439998627         0.5915273428
     259  420272.312 3855768.000       -18.8889999390         0.6822563410
     260  420532.094 3855918.000       -20.3579998016         0.6501362324
     261  420791.938 3856068.000       -20.7390003204         0.6280100346
     262  421051.812 3856218.000       -21.5890007019         0.6620541811
     263  421311.594 3856368.000       -21.3439998627         0.7243469954
     264  421571.406 3856518.000       -21.2000007629         0.8126064539
     265  421831.188 3856668.000       -21.3390007019         0.9023264647
     266  422087.125 3856815.750       -20.9750003815         0.9954913855
     267  422332.094 3856957.250       -20.6889991760         1.0971344709
     268  422563.188 3857090.500       -20.9319992065         1.1889661551
     269  422781.250 3857216.500       -20.1979999542         1.2827898264
     270  422986.938 3857335.250       -19.9290008545         1.3799823523
     271  423180.938 3857447.250       -18.3260002136         1.4879180193
     272  423364.000 3857553.000       -16.2099990845         1.6619682312
     273  423536.688 3857652.500       -16.8810005188         1.8004958630
     274  423699.594 3857746.750       -19.0480003357         1.7718846798
     275  423853.312 3857835.500       -19.6889991760         1.7112277746
     276  423998.312 3857919.250       -16.9930000305         1.8030555248
     277  414666.406 3852877.750        -6.8359999657         0.0482437834
     278  414926.188 3853027.750       -21.6429996490         0.0860347897
     279  415186.000 3853177.750       -21.6959991455         0.1137948781
     280  415445.812 3853327.750       -21.6429996490         0.1299620867
     281  415705.594 3853477.750       -21.7019996643         0.1443370581
     282  415965.406 3853627.750       -22.2959995270         0.1645276845
     283  416225.188 3853777.750       -22.2609996796         0.1916897595
     284  416485.000 3853927.750       -22.2560005188         0.2322434634
     285  416744.812 3854077.750       -22.1959991455         0.2910707593
     286  417004.594 3854227.750       -21.6429996490         0.3666446209
     287  417264.438 3854377.750       -22.4330005646         0.3394425511
     288  417524.312 3854527.750       -22.4209995270         0.3203725517
     289  417784.094 3854677.750       -23.0480003357         0.3222599626
     290  418043.906 3854827.750       -23.1410007477         0.3338329196
     291  418303.688 3854977.750       -23.0370006561         0.3531240821
     292  418563.500 3855127.750       -23.1070003510         0.3750447631
     293  418823.312 3855277.750       -22.9780006409         0.3997409344
     294  419083.094 3855427.750       -22.6639995575         0.4243520200
     295  419342.906 3855577.750       -22.1690006256         0.4401739538
     296  419602.688 3855727.750       -21.7490005493         0.4973193109
     297  419862.500 3855877.750       -21.5890007019         0.5620882511
     298  420122.312 3856027.750       -20.2859992981         0.6180737615
     299  420382.094 3856177.750       -20.6889991760         0.6232240796
     300  420641.938 3856327.750       -21.7180004120         0.5996798873
     301  420901.812 3856477.750       -20.8889999390         0.5954816937
     302  421161.594 3856627.750       -20.8349990845         0.6005151868
     303  421421.406 3856777.750       -21.0860004425         0.5972502828
     304  421681.188 3856927.750       -20.4139995575         0.5897570848
     305  421937.125 3857075.500       -20.3250007629         0.5745276213
     306  422182.094 3857217.000       -19.4890003204         0.5513192415
     307  422413.188 3857350.500       -19.8430004120         0.5196253061
     308  422631.250 3857476.250       -19.9839992523         0.4774576128
     309  422836.938 3857595.000       -19.3859996796         0.4487856925
     310  423030.938 3857707.000       -19.3889999390         0.4359321594
     311  423214.000 3857812.750       -18.4659996033         0.4316999018
     312  423386.688 3857912.500       -18.0240001678         0.4601272047
     313  423549.594 3858006.500       -18.0259990692         0.4242989421
     314  423703.312 3858095.250       -18.0139999390         0.3799718022
     315  423848.312 3858179.000       -18.0079994202         0.3807148933
     316  414516.406 3853137.500        -3.4960000515         0.0356904194
     317  414776.188 3853287.500        -7.6659998894         0.0724708065
     318  415036.000 3853437.500       -18.0429992676         0.0993031636
     319  415295.812 3853587.500       -21.3419990540         0.0865984485
     320  415555.594 3853737.500       -20.8889999390         0.0772121921
     321  415815.406 3853887.500       -21.6429996490         0.0792871118
     322  416075.188 3854037.500       -21.6959991455         0.0861322135
     323  416335.000 3854187.500       -13.2110004425         0.1150512472
     324  416594.812 3854337.500        -9.5920000076         0.2227357328
     325  416854.594 3854487.500       -16.7880001068         0.3925798535
     326  417114.438 3854637.500       -21.7579994202         0.2964453101
     327  417374.312 3854787.500       -22.4099998474         0.2849470973
     328  417634.094 3854937.500       -22.7989997864         0.3022348881
     329  417893.906 3855087.500       -22.8339996338         0.3258111179
     330  418153.688 3855237.500       -23.0769996643         0.3490306437
