x,y,depth,u,A,SG,SGI,SedRate
4.206527e+05,3.853909e+06,1.800000e+01,2.912768e-02,9.000000e+04,9.878920e+00,1.070886e-07,-4.600000e-02
4.137477e+05,3.850269e+06,4.505000e+00,7.589272e-02,9.000000e+04,1.514931e+01,1.642202e-07,-2.400000e-01
4.140075e+05,3.850419e+06,8.351000e+00,2.438911e-02,9.000000e+04,2.543042e+01,2.756685e-07,-1.250000e-01
4.142673e+05,3.850569e+06,1.374400e+01,4.746361e-02,9.000000e+04,7.939879e+00,8.606915e-08,-9.200000e-02
4.145271e+05,3.850719e+06,2.169300e+01,6.437641e-02,9.000000e+04,3.708869e+00,4.020454e-08,-9.900000e-02
4.147869e+05,3.850869e+06,2.173100e+01,1.977097e-01,9.003000e+04,1.205938e+00,1.306814e-08,-9.000000e-03
4.150468e+05,3.851019e+06,2.156800e+01,1.848855e-01,9.000000e+04,1.298898e+00,1.408020e-08,-6.000000e-03
4.153066e+05,3.851169e+06,2.239900e+01,1.575031e-01,9.000000e+04,1.468149e+00,1.591490e-08,-2.000000e-03
4.155664e+05,3.851319e+06,2.218800e+01,1.403233e-01,9.000000e+04,1.663566e+00,1.803324e-08,0.000000e+00
4.158262e+05,3.851469e+06,2.243800e+01,1.322984e-01,9.000000e+04,1.744814e+00,1.891397e-08,0.000000e+00
4.160860e+05,3.851619e+06,2.259600e+01,1.284389e-01,9.000000e+04,1.784677e+00,1.934609e-08,0.000000e+00
4.163458e+05,3.851769e+06,2.252200e+01,1.263137e-01,9.000000e+04,1.820667e+00,1.973623e-08,0.000000e+00
4.166056e+05,3.851919e+06,2.247600e+01,1.279926e-01,9.000000e+04,1.800462e+00,1.951720e-08,0.000000e+00
4.168654e+05,3.852069e+06,2.256700e+01,1.314353e-01,9.000000e+04,1.746232e+00,1.892934e-08,0.000000e+00
4.171252e+05,3.852219e+06,2.252300e+01,1.390972e-01,9.000000e+04,1.653268e+00,1.792160e-08,-2.000000e-03
4.173850e+05,3.852369e+06,2.254300e+01,1.465124e-01,9.000000e+04,1.568202e+00,1.699947e-08,-2.000000e-03
4.176448e+05,3.852519e+06,2.266500e+01,1.504219e-01,9.000000e+04,1.519221e+00,1.646852e-08,-4.000000e-03
4.179046e+05,3.852669e+06,2.268000e+01,1.515299e-01,9.000000e+04,1.507115e+00,1.633729e-08,-2.000000e-03
4.181644e+05,3.852819e+06,2.267500e+01,1.448234e-01,9.003000e+04,1.577781e+00,1.709761e-08,0.000000e+00
4.184243e+05,3.852969e+06,2.291400e+01,1.316857e-01,9.000000e+04,1.716517e+00,1.860723e-08,-2.000000e-03
4.186841e+05,3.853119e+06,2.302300e+01,1.165539e-01,9.000000e+04,1.930186e+00,2.092343e-08,-2.000000e-03
4.189439e+05,3.853269e+06,2.316000e+01,1.063775e-01,9.000000e+04,2.102324e+00,2.278942e-08,0.000000e+00
4.192037e+05,3.853419e+06,2.324400e+01,9.681746e-02,9.000000e+04,2.301565e+00,2.494922e-08,0.000000e+00
4.194635e+05,3.853569e+06,2.343700e+01,9.730288e-02,9.000000e+04,2.271225e+00,2.462032e-08,0.000000e+00
4.197233e+05,3.853719e+06,2.140700e+01,9.191338e-02,9.000000e+04,2.632409e+00,2.853559e-08,0.000000e+00
4.199831e+05,3.853869e+06,2.054700e+01,3.334596e-01,9.000000e+04,7.559553e-01,8.194637e-09,0.000000e+00
4.202429e+05,3.854019e+06,1.269500e+01,1.201333e-01,9.000000e+04,3.396187e+00,3.681504e-08,-8.000000e-03
4.218018e+05,3.854919e+06,1.982200e+01,3.652789e-01,9.000000e+04,7.153453e-01,7.754421e-09,-2.000000e-03
4.220616e+05,3.855069e+06,2.558900e+01,2.849923e-01,9.000000e+04,7.102339e-01,7.699013e-09,-4.000000e-03
4.223214e+05,3.855219e+06,2.373900e+01,1.729762e-01,9.000000e+04,1.261360e+00,1.367328e-08,-4.000000e-03
4.225812e+05,3.855369e+06,2.333900e+01,1.110868e-01,9.000000e+04,1.997759e+00,2.165593e-08,-2.000000e-03
4.228371e+05,3.855517e+06,2.000000e+01,1.540622e-01,8.735911e+04,1.631652e+00,1.822197e-08,0.000000e+00
4.230821e+05,3.855658e+06,2.107000e+01,1.021589e-01,8.240746e+04,2.203287e+00,2.608440e-08,0.000000e+00
4.233132e+05,3.855792e+06,2.211700e+01,1.761243e-01,7.773000e+04,1.148387e+00,1.441371e-08,-4.000000e-03
4.235312e+05,3.855918e+06,1.985300e+01,6.685624e-02,7.334444e+04,3.180127e+00,4.230127e-08,-2.000000e-03
4.237369e+05,3.856036e+06,2.000000e+01,8.577020e-02,6.920306e+04,2.321690e+00,3.273068e-08,-2.000000e-03
4.135977e+05,3.850528e+06,7.249000e+00,1.079817e-01,9.000000e+04,6.616979e+00,7.172877e-08,-1.750000e-01
4.138575e+05,3.850678e+06,4.090000e+00,1.126774e-01,9.000000e+04,1.123900e+01,1.218320e-07,-2.150000e-01
4.141173e+05,3.850828e+06,7.136000e+00,1.770484e-01,9.000000e+04,4.099596e+00,4.444007e-08,-2.060000e-01
4.143771e+05,3.850978e+06,7.210000e+00,2.443437e-01,9.000000e+04,2.940028e+00,3.187022e-08,-2.010000e-01
4.146369e+05,3.851128e+06,2.162000e+01,2.899577e-01,9.003000e+04,8.264988e-01,8.956351e-09,-8.000000e-03
4.148968e+05,3.851278e+06,2.159600e+01,2.841631e-01,9.000000e+04,8.440084e-01,9.149142e-09,-2.000000e-03
4.151566e+05,3.851428e+06,2.169400e+01,2.666965e-01,9.000000e+04,8.952224e-01,9.704308e-09,-2.000000e-03
4.154164e+05,3.851578e+06,2.182800e+01,2.598144e-01,9.000000e+04,9.132941e-01,9.900208e-09,0.000000e+00
4.156762e+05,3.851728e+06,2.218900e+01,2.537378e-01,9.000000e+04,9.199515e-01,9.972374e-09,0.000000e+00
4.159360e+05,3.851878e+06,2.252200e+01,2.439479e-01,9.000000e+04,9.427224e-01,1.021921e-08,0.000000e+00
4.161958e+05,3.852028e+06,2.238300e+01,2.383144e-01,9.000000e+04,9.709999e-01,1.052574e-08,0.000000e+00
4.164556e+05,3.852178e+06,2.239800e+01,2.374338e-01,9.000000e+04,9.739485e-01,1.055771e-08,-2.000000e-03
4.167154e+05,3.852328e+06,2.243300e+01,2.367301e-01,9.000000e+04,9.753197e-01,1.057257e-08,-2.000000e-03
4.169752e+05,3.852478e+06,2.252800e+01,2.369564e-01,9.000000e+04,9.702793e-01,1.051793e-08,-2.000000e-03
4.172350e+05,3.852628e+06,2.254300e+01,2.346703e-01,9.000000e+04,9.790795e-01,1.061333e-08,-2.000000e-03
4.174948e+05,3.852778e+06,2.274700e+01,2.295109e-01,9.000000e+04,9.921113e-01,1.075459e-08,-4.000000e-03
4.177546e+05,3.852928e+06,2.308900e+01,2.190198e-01,9.000000e+04,1.024234e+00,1.110281e-08,-2.000000e-03
4.180144e+05,3.853078e+06,2.288700e+01,2.049425e-01,9.003000e+04,1.104617e+00,1.197018e-08,0.000000e+00
4.182743e+05,3.853228e+06,2.293500e+01,1.864208e-01,9.000000e+04,1.211420e+00,1.313193e-08,-4.000000e-03
4.185341e+05,3.853378e+06,2.308100e+01,1.650812e-01,9.000000e+04,1.359363e+00,1.473564e-08,0.000000e+00
4.187939e+05,3.853528e+06,2.311200e+01,1.454112e-01,9.000000e+04,1.541177e+00,1.670652e-08,0.000000e+00
4.190537e+05,3.853678e+06,2.315400e+01,1.260842e-01,9.000000e+04,1.774195e+00,1.923246e-08,0.000000e+00
4.193135e+05,3.853828e+06,2.301600e+01,1.178064e-01,9.000000e+04,1.910245e+00,2.070726e-08,0.000000e+00
4.195733e+05,3.853978e+06,2.204900e+01,1.115342e-01,9.000000e+04,2.106158e+00,2.283099e-08,0.000000e+00
4.198331e+05,3.854128e+06,2.258900e+01,3.298073e-01,9.000000e+04,6.952332e-01,7.536403e-09,0.000000e+00
4.200929e+05,3.854278e+06,1.200000e+01,1.746258e-01,9.000000e+04,2.471713e+00,2.679364e-08,-2.000000e-03
4.213919e+05,3.855028e+06,1.303400e+01,2.465911e-02,9.003000e+04,1.612046e+01,1.746893e-07,-7.700000e-02
4.216518e+05,3.855178e+06,1.921300e+01,3.981524e-01,9.000000e+04,6.770853e-01,7.339678e-09,0.000000e+00
