x,y,depth,u,A,SG,SGI,SedRate
4.206527e+05,3.853909e+06,1.800000e+01,2.912768e-02,9.000000e+04,2.470159e+00,2.677679e-08,-4.000000e-03
4.137477e+05,3.850269e+06,4.505000e+00,7.589272e-02,9.000000e+04,3.787986e+00,4.106218e-08,-9.000000e-03
4.140075e+05,3.850419e+06,8.351000e+00,2.438911e-02,9.000000e+04,6.358709e+00,6.892909e-08,-1.200000e-02
4.142673e+05,3.850569e+06,1.374400e+01,4.746361e-02,9.000000e+04,1.985315e+00,2.152103e-08,-4.000000e-03
4.145271e+05,3.850719e+06,2.169300e+01,6.437641e-02,9.000000e+04,9.273783e-01,1.005288e-08,-1.700000e-02
4.147869e+05,3.850869e+06,2.173100e+01,1.977097e-01,9.003000e+04,3.015368e-01,3.267602e-09,-2.000000e-03
4.150468e+05,3.851019e+06,2.156800e+01,1.848855e-01,9.000000e+04,3.247810e-01,3.520661e-09,0.000000e+00
4.153066e+05,3.851169e+06,2.239900e+01,1.575031e-01,9.000000e+04,3.671011e-01,3.979416e-09,0.000000e+00
4.155664e+05,3.851319e+06,2.218800e+01,1.403233e-01,9.000000e+04,4.159638e-01,4.509092e-09,0.000000e+00
4.158262e+05,3.851469e+06,2.243800e+01,1.322984e-01,9.000000e+04,4.362793e-01,4.729315e-09,0.000000e+00
4.160860e+05,3.851619e+06,2.259600e+01,1.284389e-01,9.000000e+04,4.462468e-01,4.837363e-09,0.000000e+00
4.163458e+05,3.851769e+06,2.252200e+01,1.263137e-01,9.000000e+04,4.552458e-01,4.934914e-09,0.000000e+00
4.166056e+05,3.851919e+06,2.247600e+01,1.279926e-01,9.000000e+04,4.501936e-01,4.880147e-09,0.000000e+00
4.168654e+05,3.852069e+06,2.256700e+01,1.314353e-01,9.000000e+04,4.366338e-01,4.733158e-09,0.000000e+00
4.171252e+05,3.852219e+06,2.252300e+01,1.390972e-01,9.000000e+04,4.133888e-01,4.481179e-09,0.000000e+00
4.173850e+05,3.852369e+06,2.254300e+01,1.465124e-01,9.000000e+04,3.921185e-01,4.250607e-09,0.000000e+00
4.176448e+05,3.852519e+06,2.266500e+01,1.504219e-01,9.000000e+04,3.798712e-01,4.117845e-09,0.000000e+00
4.179046e+05,3.852669e+06,2.268000e+01,1.515299e-01,9.000000e+04,3.768442e-01,4.085032e-09,0.000000e+00
4.181644e+05,3.852819e+06,2.267500e+01,1.448234e-01,9.003000e+04,3.945137e-01,4.275146e-09,0.000000e+00
4.184243e+05,3.852969e+06,2.291400e+01,1.316857e-01,9.000000e+04,4.292039e-01,4.652616e-09,0.000000e+00
4.186841e+05,3.853119e+06,2.302300e+01,1.165539e-01,9.000000e+04,4.826304e-01,5.231766e-09,0.000000e+00
4.189439e+05,3.853269e+06,2.316000e+01,1.063775e-01,9.000000e+04,5.256724e-01,5.698345e-09,0.000000e+00
4.192037e+05,3.853419e+06,2.324400e+01,9.681746e-02,9.000000e+04,5.754913e-01,6.238388e-09,0.000000e+00
4.194635e+05,3.853569e+06,2.343700e+01,9.730288e-02,9.000000e+04,5.679049e-01,6.156150e-09,0.000000e+00
4.197233e+05,3.853719e+06,2.140700e+01,9.191338e-02,9.000000e+04,6.582165e-01,7.135138e-09,0.000000e+00
4.199831e+05,3.853869e+06,2.054700e+01,3.334596e-01,9.000000e+04,1.890217e-01,2.049015e-09,0.000000e+00
4.202429e+05,3.854019e+06,1.269500e+01,1.201333e-01,9.000000e+04,8.491944e-01,9.205359e-09,-2.000000e-03
4.218018e+05,3.854919e+06,1.982200e+01,3.652789e-01,9.000000e+04,1.788674e-01,1.938942e-09,0.000000e+00
4.220616e+05,3.855069e+06,2.558900e+01,2.849923e-01,9.000000e+04,1.775893e-01,1.925088e-09,-2.000000e-03
4.223214e+05,3.855219e+06,2.373900e+01,1.729762e-01,9.000000e+04,3.153947e-01,3.418913e-09,0.000000e+00
4.225812e+05,3.855369e+06,2.333900e+01,1.110868e-01,9.000000e+04,4.995266e-01,5.414922e-09,0.000000e+00
4.228371e+05,3.855517e+06,2.000000e+01,1.540622e-01,8.735911e+04,4.079838e-01,4.556285e-09,0.000000e+00
4.230821e+05,3.855658e+06,2.107000e+01,1.021589e-01,8.240746e+04,5.509176e-01,6.522232e-09,0.000000e+00
4.233132e+05,3.855792e+06,2.211700e+01,1.761243e-01,7.773000e+04,2.871467e-01,3.604054e-09,0.000000e+00
4.235312e+05,3.855918e+06,1.985300e+01,6.685624e-02,7.334444e+04,7.951699e-01,1.057715e-08,0.000000e+00
4.237369e+05,3.856036e+06,2.000000e+01,8.577020e-02,6.920306e+04,5.805233e-01,8.184092e-09,0.000000e+00
4.135977e+05,3.850528e+06,7.249000e+00,1.079817e-01,9.000000e+04,1.654532e+00,1.793531e-08,-8.000000e-03
4.138575e+05,3.850678e+06,4.090000e+00,1.126774e-01,9.000000e+04,2.810239e+00,3.046329e-08,-2.100000e-02
4.141173e+05,3.850828e+06,7.136000e+00,1.770484e-01,9.000000e+04,1.025077e+00,1.111195e-08,-9.000000e-03
4.143771e+05,3.850978e+06,7.210000e+00,2.443437e-01,9.000000e+04,7.351346e-01,7.968939e-09,-4.100000e-02
4.146369e+05,3.851128e+06,2.162000e+01,2.899577e-01,9.003000e+04,2.066606e-01,2.239477e-09,-2.000000e-03
4.148968e+05,3.851278e+06,2.159600e+01,2.841631e-01,9.000000e+04,2.110388e-01,2.287683e-09,0.000000e+00
4.151566e+05,3.851428e+06,2.169400e+01,2.666965e-01,9.000000e+04,2.238445e-01,2.426499e-09,0.000000e+00
4.154164e+05,3.851578e+06,2.182800e+01,2.598144e-01,9.000000e+04,2.283632e-01,2.475482e-09,0.000000e+00
4.156762e+05,3.851728e+06,2.218900e+01,2.537378e-01,9.000000e+04,2.300278e-01,2.493527e-09,0.000000e+00
4.159360e+05,3.851878e+06,2.252200e+01,2.439479e-01,9.000000e+04,2.357216e-01,2.555247e-09,0.000000e+00
4.161958e+05,3.852028e+06,2.238300e+01,2.383144e-01,9.000000e+04,2.427922e-01,2.631893e-09,0.000000e+00
4.164556e+05,3.852178e+06,2.239800e+01,2.374338e-01,9.000000e+04,2.435294e-01,2.639886e-09,0.000000e+00
4.167154e+05,3.852328e+06,2.243300e+01,2.367301e-01,9.000000e+04,2.438723e-01,2.643602e-09,0.000000e+00
4.169752e+05,3.852478e+06,2.252800e+01,2.369564e-01,9.000000e+04,2.426120e-01,2.629940e-09,0.000000e+00
4.172350e+05,3.852628e+06,2.254300e+01,2.346703e-01,9.000000e+04,2.448124e-01,2.653793e-09,0.000000e+00
4.174948e+05,3.852778e+06,2.274700e+01,2.295109e-01,9.000000e+04,2.480709e-01,2.689116e-09,0.000000e+00
4.177546e+05,3.852928e+06,2.308900e+01,2.190198e-01,9.000000e+04,2.561031e-01,2.776185e-09,0.000000e+00
4.180144e+05,3.853078e+06,2.288700e+01,2.049425e-01,9.003000e+04,2.762023e-01,2.993065e-09,0.000000e+00
